id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
NE;NORDESTE;2021-01-02 09:00:00;4196.70200000;2455.57599999;3717.52700000;1083.83500000;9572.15399999;1881.48600000
N;NORTE;2021-01-02 09:00:00;5578.79899999;2750.75500000;188.08800000;0E-8;5159.61799999;3358.02400000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-02 09:00:00;35952.17100000;13476.56800000;4211.23500000;1633.71600000;55273.69000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-02 09:00:00;24657.18199999;7065.31400000;0E-8;549.88100000;32012.77199999;259.60499999
S;SUL;2021-01-02 09:00:00;1519.48799999;1204.92299999;305.62000000;0E-8;8529.14599999;-5499.11500000
NE;NORDESTE;2021-01-02 10:00:00;4454.42400000;2449.65500000;3490.67899999;1143.61400000;9653.96899999;1884.40300000
N;NORTE;2021-01-02 10:00:00;5577.54900000;2763.99100000;366.98500000;0E-8;5219.04700000;3489.47799999
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-02 10:00:00;37137.91000000;13466.75500000;4139.17900000;1732.86800000;56476.71000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-02 10:00:00;25027.62599999;7040.43700000;0E-8;589.25400000;32774.89799999;-117.58099999
S;SUL;2021-01-02 10:00:00;2078.31099999;1212.67199999;281.51500000;0E-8;8828.79799999;-5256.30000000
NE;NORDESTE;2021-01-02 11:00:00;4489.24299999;2436.26800000;3357.14300000;1071.36300000;9750.42900000;1603.58800000
N;NORTE;2021-01-02 11:00:00;5900.79800000;2775.55900000;335.16400000;0E-8;5247.08000000;3764.44100000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-02 11:00:00;38365.45600000;13446.52700000;3981.66400000;1609.58000000;57403.23000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-02 11:00:00;25697.53699999;7024.21699999;0E-8;538.21700000;33203.18699999;56.78400000
S;SUL;2021-01-02 11:00:00;2277.87800000;1210.48300000;289.35699999;0E-8;9202.53100000;-5424.81300000
NE;NORDESTE;2021-01-02 12:00:00;4457.05900000;2422.94000000;3710.90200000;1051.59900000;9805.86700000;1836.63299999
N;NORTE;2021-01-02 12:00:00;6076.12700000;2764.72200000;332.94700000;0E-8;5296.63700000;3877.15899999
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-02 12:00:00;38766.74800000;13438.27300000;4350.06000000;1575.54700000;58130.63000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-02 12:00:00;25630.37800000;7041.78400000;0E-8;523.94800000;33796.65200000;-600.54199999
S;SUL;2021-01-02 12:00:00;2603.18400000;1208.82700000;306.21100000;0E-8;9231.47200000;-5113.25000000
NE;NORDESTE;2021-01-02 13:00:00;4620.22999999;2422.04300000;4159.60799999;1027.96300000;9881.05299999;2348.79100000
N;NORTE;2021-01-02 13:00:00;6053.97900000;2674.87400000;327.83700000;0E-8;5437.31000000;3619.38000000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-02 13:00:00;38750.03600000;13349.50000000;4856.80800000;1682.99900000;58639.34000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-02 13:00:00;25335.44000000;7047.48699999;0E-8;655.03599999;34036.27299999;-998.31000000
S;SUL;2021-01-02 13:00:00;2740.38699999;1205.09600000;369.36300000;0E-8;9284.70699999;-4969.86100000
NE;NORDESTE;2021-01-02 14:00:00;4645.34800000;2422.12700000;4799.28600000;951.80800000;10006.52100000;2812.04800000
N;NORTE;2021-01-02 14:00:00;6057.84100000;2760.06400000;315.29600000;0E-8;5567.64600000;3565.55499999
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-02 14:00:00;38646.73500000;13417.93500000;5527.07800000;1530.02700000;59121.78000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-02 14:00:00;24823.97099999;7042.48799999;0E-8;578.21900000;34217.60599999;-1772.92799999
S;SUL;2021-01-02 14:00:00;3119.57500000;1193.25599999;412.49600000;0E-8;9330.00200000;-4604.67500000
NE;NORDESTE;2021-01-02 15:00:00;4695.37199999;2427.59299999;5403.36200000;794.39500000;10123.56900000;3197.15300000
N;NORTE;2021-01-02 15:00:00;6144.53399999;2763.40700000;310.45800000;0E-8;5549.22200000;3669.17699999
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-02 15:00:00;38884.64000000;13432.82300000;6205.04500000;1151.88600000;59674.39000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-02 15:00:00;24932.16199999;7054.03300000;0E-8;357.49100000;34550.29599999;-2206.60999999
S;SUL;2021-01-02 15:00:00;3112.57200000;1187.79000000;491.22500000;0E-8;9451.30700000;-4659.72000000
NE;NORDESTE;2021-01-02 16:00:00;4795.54500000;2429.18099999;6274.91700000;701.11700000;10189.51500000;4011.24500000
N;NORTE;2021-01-02 16:00:00;6173.62800000;2811.60300000;322.59699999;0E-8;5567.40800000;3740.42000000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-02 16:00:00;38700.17500000;13459.40200000;7224.70000000;1106.43600000;60490.71000000;0E-8
